parent,child,unit_qty
오일 퍼퓸 85,원액 13,0.001
오일 퍼퓸 85,공병 16,1.0
오일 퍼퓸 85,뚜껑 04,1.0
오일 퍼퓸 85,샘플 카드 01,1.0
오일 퍼퓸 41,원액 14,0.001
오일 퍼퓸 41,공병 17,1.0
오일 퍼퓸 41,뚜껑 04,1.0
오일 퍼퓸 41,샘플 카드 01,1.0
오일 퍼퓸 57,원액 15,0.001
오일 퍼퓸 57,공병 18,1.0
오일 퍼퓸 57,뚜껑 04,1.0
오일 퍼퓸 57,샘플 카드 01,1.0
오일 퍼퓸 39,원액 16,0.001
오일 퍼퓸 39,공병 19,1.0
오일 퍼퓸 39,뚜껑 04,1.0
오일 퍼퓸 39,샘플 카드 01,1.0
오일 퍼퓸 65,원액 17,0.001
오일 퍼퓸 65,공병 20,1.0
오일 퍼퓸 65,뚜껑 04,1.0
오일 퍼퓸 65,샘플 카드 01,1.0
오일 퍼퓸 92,원액 18,0.001
오일 퍼퓸 92,공병 21,1.0
오일 퍼퓸 92,뚜껑 04,1.0
오일 퍼퓸 92,샘플 카드 01,1.0
오일 퍼퓸 52,공병 22,1.0
오일 퍼퓸 52,뚜껑 05,1.0
오일 퍼퓸 52,파우치 01,1.0
오일 퍼퓸 52,원액 24,0.002
디퓨저 53,부자재 10,1.0
디퓨저 53,부자재 11,1.0
디퓨저 53,박스 16,1.0
디퓨저 03,원액 01,0.06
디퓨저 03,부자재 05,0.24
디퓨저 03,부자재 02,1.0
디퓨저 03,부자재 04,1.0
디퓨저 03,공병 01,1.0
디퓨저 03,공병 02,1.0
디퓨저 03,리드스틱 03,1.0
디퓨저 03,리드스틱 02,1.0
디퓨저 03,박스 01,1.0
디퓨저 03,부자재 03,1.0
디퓨저 04,원액 02,0.06
디퓨저 04,부자재 05,0.24
디퓨저 04,부자재 02,1.0
디퓨저 04,부자재 04,1.0
디퓨저 04,공병 01,1.0
디퓨저 04,공병 02,1.0
디퓨저 04,리드스틱 03,1.0
디퓨저 04,리드스틱 02,1.0
디퓨저 04,박스 01,1.0
디퓨저 04,부자재 03,1.0
디퓨저 06,원액 03,0.06
디퓨저 06,부자재 05,0.24
디퓨저 06,부자재 02,1.0
디퓨저 06,부자재 04,1.0
디퓨저 06,공병 01,1.0
디퓨저 06,공병 02,1.0
디퓨저 06,리드스틱 03,1.0
디퓨저 06,리드스틱 02,1.0
디퓨저 06,박스 01,1.0
디퓨저 06,부자재 03,1.0
디퓨저 08,원액 04,0.06
디퓨저 08,부자재 05,0.24
디퓨저 08,부자재 02,1.0
디퓨저 08,부자재 04,1.0
디퓨저 08,공병 01,1.0
디퓨저 08,공병 02,1.0
디퓨저 08,리드스틱 03,1.0
디퓨저 08,리드스틱 02,1.0
디퓨저 08,박스 01,1.0
디퓨저 08,부자재 03,1.0
디퓨저 07,원액 05,0.06
디퓨저 07,부자재 05,0.24
디퓨저 07,부자재 02,1.0
디퓨저 07,부자재 04,1.0
디퓨저 07,공병 01,1.0
디퓨저 07,공병 02,1.0
디퓨저 07,리드스틱 03,1.0
디퓨저 07,리드스틱 02,1.0
디퓨저 07,박스 01,1.0
디퓨저 07,부자재 03,1.0
디퓨저 13,원액 10,0.06
디퓨저 13,부자재 05,0.24
디퓨저 13,부자재 02,1.0
디퓨저 13,부자재 04,1.0
디퓨저 13,공병 01,1.0
디퓨저 13,공병 02,1.0
디퓨저 13,리드스틱 03,1.0
디퓨저 13,리드스틱 02,1.0
디퓨저 13,박스 01,1.0
디퓨저 13,부자재 03,1.0
디퓨저 14,원액 11,0.06
디퓨저 14,부자재 05,0.24
디퓨저 14,부자재 02,1.0
디퓨저 14,부자재 04,1.0
디퓨저 14,공병 01,1.0
디퓨저 14,공병 02,1.0
디퓨저 14,리드스틱 03,1.0
디퓨저 14,리드스틱 02,1.0
디퓨저 14,박스 01,1.0
디퓨저 14,부자재 03,1.0
디퓨저 15,원액 12,0.06
디퓨저 15,부자재 05,0.24
디퓨저 15,부자재 02,1.0
디퓨저 15,부자재 04,1.0
디퓨저 15,공병 01,1.0
디퓨저 15,공병 02,1.0
디퓨저 15,리드스틱 03,1.0
디퓨저 15,리드스틱 02,1.0
디퓨저 15,박스 01,1.0
디퓨저 15,부자재 03,1.0
디퓨저 16,원액 01,0.06
디퓨저 16,부자재 05,0.24
디퓨저 16,공병 01,1.0
디퓨저 16,공병 02,1.0
디퓨저 16,박스 02,1.0
디퓨저 16,부자재 03,1.0
디퓨저 17,원액 02,0.06
디퓨저 17,부자재 05,0.24
디퓨저 17,공병 01,1.0
디퓨저 17,공병 02,1.0
디퓨저 17,박스 02,1.0
디퓨저 17,부자재 03,1.0
디퓨저 19,원액 03,0.06
디퓨저 19,부자재 05,0.24
디퓨저 19,공병 01,1.0
디퓨저 19,공병 02,1.0
디퓨저 19,박스 02,1.0
디퓨저 19,부자재 03,1.0
디퓨저 21,원액 04,0.06
디퓨저 21,부자재 05,0.24
디퓨저 21,공병 01,1.0
디퓨저 21,공병 02,1.0
디퓨저 21,박스 02,1.0
디퓨저 21,부자재 03,1.0
디퓨저 20,원액 05,0.06
디퓨저 20,부자재 05,0.24
디퓨저 20,공병 01,1.0
디퓨저 20,공병 02,1.0
디퓨저 20,박스 02,1.0
디퓨저 20,부자재 03,1.0
디퓨저 26,원액 10,0.06
디퓨저 26,부자재 05,0.24
디퓨저 26,공병 01,1.0
디퓨저 26,공병 02,1.0
디퓨저 26,박스 02,1.0
디퓨저 26,부자재 03,1.0
디퓨저 27,원액 11,0.06
디퓨저 27,부자재 05,0.24
디퓨저 27,공병 01,1.0
디퓨저 27,공병 02,1.0
디퓨저 27,박스 02,1.0
디퓨저 27,부자재 03,1.0
디퓨저 28,원액 12,0.06
디퓨저 28,부자재 05,0.24
디퓨저 28,공병 01,1.0
디퓨저 28,공병 02,1.0
디퓨저 28,박스 02,1.0
디퓨저 28,부자재 03,1.0
디퓨저 30,원액 03,0.017
디퓨저 30,뚜껑 01,1.0
디퓨저 30,공병 03,1.0
디퓨저 30,박스 03,1.0
디퓨저 32,원액 04,0.017
디퓨저 32,뚜껑 01,1.0
디퓨저 45,부자재 16,1.0
디퓨저 32,공병 03,1.0
디퓨저 32,박스 04,1.0
디퓨저 31,원액 05,0.017
디퓨저 31,뚜껑 01,1.0
디퓨저 31,공병 03,1.0
디퓨저 31,박스 05,1.0
디퓨저 33,원액 07,0.017
디퓨저 33,뚜껑 01,1.0
디퓨저 33,공병 03,1.0
디퓨저 33,박스 06,1.0
디퓨저 34,원액 08,0.017
디퓨저 34,뚜껑 01,1.0
디퓨저 34,공병 03,1.0
디퓨저 34,박스 07,1.0
디퓨저 36,원액 11,0.017
디퓨저 36,뚜껑 01,1.0
디퓨저 36,공병 03,1.0
디퓨저 36,박스 08,1.0
디퓨저 37,원액 12,0.017
디퓨저 37,뚜껑 01,1.0
디퓨저 37,공병 03,1.0
디퓨저 37,박스 09,1.0
디퓨저 43,원액 04,0.03
디퓨저 43,원액 05,0.02
디퓨저 43,부자재 05,0.2
디퓨저 43,리드스틱 01,1.0
디퓨저 43,부자재 01,1.0
디퓨저 43,박스 10,1.0
디퓨저 43,캡 02,1.0
디퓨저 43,캡 03,1.0
디퓨저 43,캡 01,1.0
디퓨저 43,부자재 15,1.0
디퓨저 43,부자재 16,1.0
디퓨저 43,박스 11,1.0
디퓨저 44,원액 04,0.025
디퓨저 44,원액 03,0.025
디퓨저 44,부자재 05,0.2
디퓨저 44,리드스틱 01,1.0
디퓨저 44,부자재 01,1.0
디퓨저 44,박스 10,1.0
디퓨저 44,캡 02,1.0
디퓨저 44,캡 03,1.0
디퓨저 44,캡 01,1.0
디퓨저 44,부자재 15,1.0
디퓨저 44,부자재 16,1.0
디퓨저 44,박스 11,1.0
디퓨저 45,원액 04,0.02
디퓨저 45,원액 08,0.03
디퓨저 45,부자재 05,0.2
디퓨저 45,리드스틱 01,1.0
디퓨저 45,부자재 01,1.0
디퓨저 45,박스 10,1.0
디퓨저 45,캡 02,1.0
디퓨저 45,캡 03,1.0
디퓨저 45,캡 01,1.0
디퓨저 45,부자재 15,1.0
디퓨저 45,박스 11,1.0
디퓨저 46,원액 04,0.03
디퓨저 46,원액 06,0.02
디퓨저 46,부자재 05,0.2
디퓨저 46,부자재 01,1.0
디퓨저 46,박스 10,1.0
디퓨저 46,캡 02,1.0
디퓨저 46,캡 03,1.0
디퓨저 46,박스 12,1.0
디퓨저 47,원액 04,0.025
디퓨저 47,원액 03,0.025
디퓨저 47,부자재 05,0.2
디퓨저 47,부자재 01,1.0
디퓨저 47,박스 10,1.0
디퓨저 47,캡 02,1.0
디퓨저 47,캡 03,1.0
디퓨저 47,박스 12,1.0
디퓨저 48,원액 04,0.02
디퓨저 48,원액 08,0.03
디퓨저 48,부자재 05,0.2
디퓨저 48,부자재 01,1.0
디퓨저 48,박스 10,1.0
디퓨저 48,캡 02,1.0
디퓨저 48,캡 03,1.0
디퓨저 48,박스 12,1.0
기타 01,원액 20,0.007
기타 01,부자재 06,1.0
기타 01,공병 04,1.0
기타 01,부자재 08,1.0
기타 01,뚜껑 02,1.0
기타 01,박스 13,1.0
제품 818,원액 20,0.007
제품 818,원액 21,0.004
제품 818,원액 04,0.008
제품 818,공병 04,1.0
제품 818,부자재 06,1.0
제품 818,공병 05,1.0
제품 818,부자재 07,1.0
제품 818,뚜껑 02,2.0
제품 818,부자재 08,2.0
제품 818,박스 14,1.0
제품 818,부자재 17,1.0
제품 818,부자재 18,1.0
제품 818,파우치 02,1.0
제품 976,원액 20,0.007
제품 976,원액 27,0.004
제품 976,원액 04,0.008
제품 976,공병 04,1.0
제품 976,부자재 06,1.0
제품 976,공병 06,1.0
제품 976,부자재 07,1.0
제품 976,뚜껑 02,2.0
제품 976,부자재 08,2.0
제품 976,박스 14,1.0
제품 976,부자재 17,1.0
제품 976,부자재 18,1.0
제품 976,파우치 02,1.0
오일 퍼퓸 04,원액 17,0.012
오일 퍼퓸 04,공병 07,1.0
오일 퍼퓸 04,부자재 09,1.0
오일 퍼퓸 04,뚜껑 03,1.0
오일 퍼퓸 04,박스 15,1.0
오일 퍼퓸 06,원액 18,0.012
오일 퍼퓸 06,공병 08,1.0
오일 퍼퓸 06,부자재 09,1.0
오일 퍼퓸 06,뚜껑 03,1.0
오일 퍼퓸 06,박스 15,1.0
오일 퍼퓸 09,원액 19,0.012
오일 퍼퓸 09,공병 09,1.0
오일 퍼퓸 09,부자재 09,1.0
오일 퍼퓸 09,뚜껑 03,1.0
오일 퍼퓸 09,박스 15,1.0
오일 퍼퓸 15,원액 21,0.012
오일 퍼퓸 15,공병 10,1.0
오일 퍼퓸 15,부자재 09,1.0
오일 퍼퓸 15,뚜껑 03,1.0
오일 퍼퓸 15,박스 15,1.0
오일 퍼퓸 19,원액 22,0.012
오일 퍼퓸 19,공병 11,1.0
오일 퍼퓸 19,부자재 09,1.0
오일 퍼퓸 19,뚜껑 03,1.0
오일 퍼퓸 19,박스 15,1.0
오일 퍼퓸 20,원액 23,0.012
오일 퍼퓸 20,공병 12,1.0
오일 퍼퓸 20,부자재 09,1.0
오일 퍼퓸 20,뚜껑 03,1.0
오일 퍼퓸 20,박스 15,1.0
오일 퍼퓸 26,원액 25,0.012
오일 퍼퓸 26,공병 13,1.0
오일 퍼퓸 26,부자재 09,1.0
오일 퍼퓸 26,뚜껑 03,1.0
오일 퍼퓸 26,박스 15,1.0
오일 퍼퓸 27,원액 26,0.012
오일 퍼퓸 27,공병 14,1.0
오일 퍼퓸 27,부자재 09,1.0
오일 퍼퓸 27,뚜껑 03,1.0
오일 퍼퓸 27,박스 15,1.0
오일 퍼퓸 29,원액 27,0.012
오일 퍼퓸 29,공병 15,1.0
오일 퍼퓸 29,부자재 09,1.0
오일 퍼퓸 29,뚜껑 03,1.0
오일 퍼퓸 29,박스 15,1.0
캔들 02,원액 04,0.031
캔들 02,부자재 12,1.0
캔들 02,부자재 13,1.0
캔들 02,부자재 14,1.0
캔들 02,박스 17,1.0
캔들 02,심지 01,1.0
캔들 04,원액 09,0.031
캔들 04,부자재 12,1.0
캔들 04,부자재 13,1.0
캔들 04,부자재 14,1.0
캔들 04,박스 17,1.0
캔들 04,심지 01,1.0
캔들 05,원액 03,0.031
캔들 05,캡 04,1.0
캔들 05,박스 18,1.0
캔들 05,부자재 15,1.0
캔들 05,부자재 16,1.0
캔들 05,심지 01,1.0
캔들 07,원액 04,0.031
캔들 07,캡 04,1.0
캔들 07,박스 18,1.0
캔들 07,부자재 15,1.0
캔들 07,부자재 16,1.0
캔들 07,심지 01,1.0
캔들 06,원액 05,0.031
캔들 06,캡 04,1.0
캔들 06,박스 18,1.0
캔들 06,부자재 15,1.0
캔들 06,부자재 16,1.0
캔들 06,심지 01,1.0
캔들 08,원액 08,0.031
캔들 08,캡 04,1.0
캔들 08,박스 18,1.0
캔들 08,부자재 15,1.0
캔들 08,부자재 16,1.0
캔들 08,심지 01,1.0
